run_name,sample_name,total_reads_processed,reads_with_any_adapters,total_basepairs_processed,basepairs_in_any_adapters,adapter_name,reads_with_this_adapter,length_trimmed,times_trimmed,times_expected
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,4,3220,3796.4
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,5,722,949.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,6,424,237.3
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,7,187,59.3
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,8,174,14.8
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,9,174,3.7
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,10,201,0.9
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,11,175,0.2
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,12,205,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,13,163,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,14,157,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,15,136,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,16,167,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,17,162,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,18,170,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,19,157,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,20,156,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,21,174,0.1
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,23851,82608865,81534427, Adapter Illumina ,23851,22,160,0.1
