File_ID,Retained_Reads,Low_quality,Total
SRR7222059.fastq.gz,971869,10194,982063
SRR7222070.fastq.gz,1234609,13636,1248245
SRR7222073.fastq.gz,1952500,1088,1953588
SRR7222074.fastq.gz,1343603,716,1344319
SRR7222076.fastq.gz,1873541,1024,1874565
SRR7222077.fastq.gz,1480102,774,1480876
SRR7222078.fastq.gz,1453369,751,1454120
SRR7222079.fastq.gz,1544532,773,1545305
SRR7222080.fastq.gz,1377161,637,1377798
SRR7222081.fastq.gz,1544794,876,1545670
SRR7222082.fastq.gz,1663623,911,1664534
SRR7222083.fastq.gz,1776154,973,1777127
SRR7222084.fastq.gz,1472690,18408,1491098
SRR7222085.fastq.gz,1184855,12970,1197825
SRR7222088.fastq.gz,1207332,13428,1220760
SRR7222089.fastq.gz,1505983,21291,1527274
SRR7222090.fastq.gz,1552363,14608,1566971
SRR7222091.fastq.gz,1307426,16544,1323970
SRR7222103.fastq.gz,1504948,675,1505623
SRR7222104.fastq.gz,1728761,863,1729624
SRR7222105.fastq.gz,1410219,632,1410851
SRR7222106.fastq.gz,1240829,582,1241411
SRR7222107.fastq.gz,1533652,795,1534447
SRR7222108.fastq.gz,1864253,1095,1865348
SRR7222109.fastq.gz,1697721,717,1698438
SRR7222110.fastq.gz,1365158,610,1365768
SRR7222111.fastq.gz,1913688,1157,1914845
SRR7222112.fastq.gz,1920787,1221,1922008
SRR7222113.fastq.gz,1145014,681,1145695
SRR7222114.fastq.gz,1697144,1000,1698144
SRR7222115.fastq.gz,1289065,918,1289983
SRR7222116.fastq.gz,1133020,597,1133617
SRR7222117.fastq.gz,1191432,749,1192181
SRR7222118.fastq.gz,1166345,545,1166890
SRR7222119.fastq.gz,1554432,17291,1571723
SRR7222120.fastq.gz,947024,9335,956359
SRR7222127.fastq.gz,1110990,12778,1123768
SRR7222128.fastq.gz,1137668,12727,1150395
SRR7222129.fastq.gz,1232183,13895,1246078
SRR7222130.fastq.gz,1584102,14692,1598794
SRR7222131.fastq.gz,1370467,17384,1387851
SRR7222132.fastq.gz,1639979,20488,1660467
SRR7222133.fastq.gz,1338230,17018,1355248
SRR7222134.fastq.gz,1366858,15829,1382687
SRR7222137.fastq.gz,1822901,854,1823755
SRR7222138.fastq.gz,1536989,758,1537747
SRR7222139.fastq.gz,1861234,1148,1862382
SRR7222140.fastq.gz,1735306,885,1736191
SRR7222141.fastq.gz,1290072,661,1290733
SRR7222142.fastq.gz,1523253,742,1523995
SRR7222143.fastq.gz,1646493,799,1647292
SRR7222144.fastq.gz,1889661,863,1890524
SRR7222145.fastq.gz,1659647,811,1660458
SRR7222146.fastq.gz,1583610,781,1584391
SRR7222161.fastq.gz,1528297,815,1529112
SRR7222167.fastq.gz,1125710,524,1126234
