Run,Altitude,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,env_biome,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue
SRR7222044,2530 m,OTHER,85,131946435,PRJNA473221,SAMN09268248,Invertebrate,81452759,UNIVERSITY OF ALABAMA,2013-07-01,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4128954,USA,North America,USA:California,Illumina HiSeq 2000,JDL563,Sonora Pass,38.32302 N 119.67823 W,JDL563,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL563-CA07-2013--Bv,female,SRP149031,Thorax muscle
SRR7222045,2530 m,OTHER,85,157572575,PRJNA473221,SAMN09268247,Invertebrate,100772042,UNIVERSITY OF ALABAMA,2013-07-01,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4128953,USA,North America,USA:California,Illumina HiSeq 2000,JDL562,Sonora Pass,38.32302 N 119.67823 W,JDL562,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL562-CA07-2013--Bv,female,SRP149031,Thorax muscle
SRR7222046,2530 m,OTHER,85,200962695,PRJNA473221,SAMN09268246,Invertebrate,125657024,UNIVERSITY OF ALABAMA,2013-07-01,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4128952,USA,North America,USA:California,Illumina HiSeq 2000,JDL561,Sonora Pass,38.32302 N 119.67823 W,JDL561,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL561-CA07-2013--Bv,female,SRP149031,Thorax muscle
SRR7222047,2530 m,OTHER,85,260149725,PRJNA473221,SAMN09268245,Invertebrate,161236182,UNIVERSITY OF ALABAMA,2013-07-01,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4128951,USA,North America,USA:California,Illumina HiSeq 2000,JDL560,Sonora Pass,38.32302 N 119.67823 W,JDL560,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL560-CA07-2013--Bv,female,SRP149031,Thorax muscle
SRR7222048,2530 m,OTHER,85,140260285,PRJNA473221,SAMN09268244,Invertebrate,88523107,UNIVERSITY OF ALABAMA,2013-07-01,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4128950,USA,North America,USA:California,Illumina HiSeq 2000,JDL559,Sonora Pass,38.32302 N 119.67823 W,JDL559,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL559-CA07-2013--Bv,female,SRP149031,Thorax muscle
SRR7222049,2530 m,OTHER,85,122770175,PRJNA473221,SAMN09268243,Invertebrate,76591005,UNIVERSITY OF ALABAMA,2013-07-01,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4128949,USA,North America,USA:California,Illumina HiSeq 2000,JDL558,Sonora Pass,38.32302 N 119.67823 W,JDL558,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL558-CA07-2013--Bv,female,SRP149031,Thorax muscle
SRR7222050,2530 m,OTHER,85,137174700,PRJNA473221,SAMN09268242,Invertebrate,85863371,UNIVERSITY OF ALABAMA,2013-07-01,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4128948,USA,North America,USA:California,Illumina HiSeq 2000,JDL557,Sonora Pass,38.32302 N 119.67823 W,JDL557,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL557-CA07-2013--Bv,female,SRP149031,Thorax muscle
SRR7222051,314 m,OTHER,85,105159110,PRJNA473221,SAMN09268488,Invertebrate,67978588,UNIVERSITY OF ALABAMA,2015-05-12,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4128947,USA,North America,USA:California,Illumina HiSeq 2000,JDL938,Three Rivers Just outside of Sequoia,36.45761 N 118.87862 W,JDL938,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL938-CA01-2015--Bv,female,SRP149031,Thorax muscle
SRR7222052,314 m,OTHER,85,91719505,PRJNA473221,SAMN09268489,Invertebrate,59511618,UNIVERSITY OF ALABAMA,2015-05-12,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4128946,USA,North America,USA:California,Illumina HiSeq 2000,JDL939,Three Rivers Just outside of Sequoia,36.45761 N 118.87862 W,JDL939,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL939-CA01-2015--Bv,female,SRP149031,Thorax muscle
SRR7222053,314 m,OTHER,85,100551940,PRJNA473221,SAMN09268486,Invertebrate,65744539,UNIVERSITY OF ALABAMA,2015-05-12,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4128945,USA,North America,USA:California,Illumina HiSeq 2000,JDL936,Three Rivers Just outside of Sequoia,36.45761 N 118.87862 W,JDL936,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL936-CA01-2015--Bv,female,SRP149031,Thorax muscle
