"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",34.99952,24.988468,"","PRESENT"
"gbif2",34.518501,28.510904,"","PRESENT"
"gbif3",34.999835,24.988181,"","PRESENT"
"gbif4",34.798638,25.32724,"","PRESENT"
"gbif5",34.796796,25.335897,"","PRESENT"
"gbif6",34.741575,25.346612,"","PRESENT"
"gbif7",34.974643,24.914927,"","PRESENT"
"gbif8",34.764663,25.321356,"","PRESENT"
"gbif9",34.820675,25.385304,"","PRESENT"
"gbif10",34.998955,24.98835,"","PRESENT"
"gbif11",34.537303,28.572274,"","PRESENT"
"gbif12",34.537303,28.572274,"","PRESENT"
"gbif13",34.537303,28.572274,"","PRESENT"
"gbif14",34.993008,24.899295,"","PRESENT"
"gbif15",34.797489,25.334049,"","PRESENT"
"gbif16",34.740819,25.33712,"","PRESENT"
"gbif17",34.230912,27.738282,"","PRESENT"
"gbif18",34.892574,25.084923,"","PRESENT"
"gbif19",34.456729,27.990149,"","PRESENT"
"gbif20",34.537435,28.572596,"","PRESENT"
"gbif21",34.911272,29.497597,"","PRESENT"
"gbif22",34.349822,27.909039,"","PRESENT"
"gbif23",34.983319,24.944592,"","PRESENT"
"gbif24",39.07705,21.720134,"","PRESENT"
"gbif25",39.080221,21.714012,"","PRESENT"
"gbif26",38.913465,21.594372,"","PRESENT"
"gbif27",38.913465,21.594372,"","PRESENT"
"gbif28",38.913465,21.594372,"","PRESENT"
"gbif29",38.913465,21.594372,"","PRESENT"
"gbif30",39.07705,21.720134,"","PRESENT"
"gbif31",38.858546,21.61119,"","PRESENT"
"gbif32",34.429264,27.97424,"","PRESENT"
"gbif33",34.429264,27.97424,"","PRESENT"
"gbif34",34.33333,27.628031,"","PRESENT"
"gbif35",34.73452,29.135854,"","PRESENT"
"gbif36",34.517356,28.497059,"","PRESENT"
"gbif37",34.517356,28.497059,"","PRESENT"
"gbif38",36.267394,23.827984,"","PRESENT"
"gbif39",33.918267,27.183039,"","PRESENT"
"gbif40",33.828864,27.172385,"","PRESENT"
"gbif41",33.828729,27.172219,"","PRESENT"
"gbif42",33.811607,27.257896,"","PRESENT"
"gbif44",35.079151,24.83657,"","PRESENT"
"gbif45",34.938421,25.072326,"","PRESENT"
"gbif46",34.349427,27.91371,"","PRESENT"
"gbif47",33.78316,27.334423,"","PRESENT"
"gbif48",34.32503,26.022868,"","PRESENT"
"gbif49",34.238063,27.732827,"","PRESENT"
"gbif50",35.908972,23.453973,"","PRESENT"
"gbif51",34.326642,26.02522,"","PRESENT"
"gbif52",34.919196,29.504061,"","PRESENT"
"gbif53",34.291076,27.823288,"","PRESENT"
"gbif54",33.95674,27.07141,"","PRESENT"
"gbif55",34.256747,27.726047,"","PRESENT"
"gbif56",35.527403,26.837342,"","PRESENT"
"gbif57",34.787699,25.266719,"","PRESENT"
"gbif58",34.324341,27.867492,"","PRESENT"
"gbif59",35.201737,25.2605,"","PRESENT"
"gbif60",34.522584,28.492111,"","PRESENT"
"gbif61",32.533995,29.538692,"","PRESENT"
"gbif62",38.897341,22.371415,"","PRESENT"
"gbif63",34.69167,29.15611,"","PRESENT"
"gbif65",34.28333,26.1,"","PRESENT"
"gbif67",34.91528,29.50028,"","PRESENT"
"gbif68",36.000929,24.360606,"","PRESENT"
"gbif69",36.000929,24.360606,"","PRESENT"
"gbif70",43.364109,12.458916,"","PRESENT"
"gbif71",34.521738,28.503944,"","PRESENT"
