link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA294760_Amphiprion-bicinctus	SRR2568025	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568026	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568027	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568028	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568029	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568030	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568031	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568032	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568033	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568034	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568035	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568036	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568037	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568038	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568039	24.15	37.675		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568040	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568041	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568042	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568043	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568044	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568045	16.618	41.938		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568046	16.618	41.938		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568047	16.618	41.938		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568049	16.618	41.938		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568050	16.618	41.938		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568051	16.618	41.938		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568052	16.618	41.938		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568053	16.618	41.938		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568054	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568055	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568056	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568057	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568058	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568060	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568061	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568062	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568063	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568064	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568065	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568066	28.404	34.741		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568067	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568068	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568069	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568071	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568072	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568073	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568074	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568075	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568076	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568077	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568078	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568079	27.91	35.065		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568083	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568084	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568085	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568086	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568087	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568088	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568089	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568090	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568091	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568093	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568094	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568095	19.89	39.961		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568096	12.659	53.907		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568097	12.659	53.907		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568098	12.659	53.907		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568099	12.659	53.907		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568100	12.659	53.907		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568101	12.659	53.907		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568102	12.659	53.907		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568104	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568105	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568106	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568107	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568108	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568109	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568110	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568111	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568112	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568113	17.787	41.442		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568114	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568115	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568116	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568117	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568118	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568119	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568120	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568121	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568122	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568123	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568124	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568125	11.721	43.165		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568126	21.207	37.232		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568127	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568128	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568129	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568130	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568131	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568132	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568133	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568134	21.676	38.841		ncbi
PRJNA294760_Amphiprion-bicinctus	SRR2568135	21.676	38.841		ncbi
