link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA473221_Bombus-bifarius	SRR7222059	41.36148	-122.20068	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222070	41.36148	-122.20068	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222073	45.33408	-121.70775	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222074	45.33408	-121.70775	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222076	41.35839	-122.1982	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222077	41.35839	-122.1982	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222078	41.35839	-122.1982	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222079	41.35839	-122.1982	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222080	43.7091	-122.4163	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222081	41.35839	-122.1982	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222082	47.80856	-120.71393	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222083	47.80413	-121.06815	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222084	37.2023	-119.21434	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222085	37.2023	-119.21434	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222088	36.59657	-118.7364	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222089	36.59657	-118.7364	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222090	37.2023	-119.21434	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222091	37.2023	-119.21434	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222103	47.62704	-120.46713	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222104	47.62704	-120.46713	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222105	47.62704	-120.46713	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222106	47.62704	-120.46713	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222107	48.619107	-120.40993	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222108	48.619107	-120.40993	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222109	47.62704	-120.46713	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222110	47.62704	-120.46713	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222111	48.58863	-120.37342	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222112	48.58863	-120.37342	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222113	48.58863	-120.37342	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222114	48.619107	-120.40993	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222115	48.58863	-120.37342	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222116	48.58863	-120.37342	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222117	48.58863	-120.37342	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222118	48.58863	-120.37342	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222119	45.31242	-121.6481	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222120	45.31242	-121.6481	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222127	45.31242	-121.6481	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222128	45.31242	-121.6481	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222129	45.31242	-121.6481	10	ncbi
PRJNA473221_Bombus-bifarius	SRR7222130	45.31242	-121.6481	10	ncbi
