sample_name,number_reads,read_length
SRR7222059.fq.gz,39,3
SRR7222059.fq.gz,15,4
SRR7222059.fq.gz,35,5
SRR7222059.fq.gz,131,6
SRR7222059.fq.gz,136,7
SRR7222059.fq.gz,157,8
SRR7222059.fq.gz,164,9
SRR7222059.fq.gz,110,10
SRR7222059.fq.gz,140,11
SRR7222059.fq.gz,136,12
SRR7222059.fq.gz,167,13
SRR7222059.fq.gz,4687,14
SRR7222059.fq.gz,134,15
SRR7222059.fq.gz,324,16
SRR7222059.fq.gz,171,17
SRR7222059.fq.gz,1010,18
SRR7222059.fq.gz,112,19
SRR7222059.fq.gz,440,20
SRR7222059.fq.gz,239,21
SRR7222059.fq.gz,3593,22
SRR7222059.fq.gz,278,23
SRR7222059.fq.gz,107,24
SRR7222059.fq.gz,142,25
SRR7222059.fq.gz,83,26
SRR7222059.fq.gz,66,27
SRR7222059.fq.gz,90,28
SRR7222059.fq.gz,97,29
SRR7222059.fq.gz,97,30
SRR7222059.fq.gz,108,31
SRR7222059.fq.gz,91,32
SRR7222059.fq.gz,104,33
SRR7222059.fq.gz,98,34
SRR7222059.fq.gz,99,35
SRR7222059.fq.gz,114,36
SRR7222059.fq.gz,97,37
SRR7222059.fq.gz,109,38
SRR7222059.fq.gz,102,39
SRR7222059.fq.gz,103,40
SRR7222059.fq.gz,113,41
SRR7222059.fq.gz,101,42
SRR7222059.fq.gz,161,43
SRR7222059.fq.gz,111,44
SRR7222059.fq.gz,117,45
SRR7222059.fq.gz,128,46
SRR7222059.fq.gz,101,47
SRR7222059.fq.gz,139,48
SRR7222059.fq.gz,146,49
SRR7222059.fq.gz,132,50
SRR7222059.fq.gz,128,51
SRR7222059.fq.gz,78,52
SRR7222059.fq.gz,166,53
SRR7222059.fq.gz,119,54
SRR7222059.fq.gz,139,55
SRR7222059.fq.gz,135,56
SRR7222059.fq.gz,120,57
SRR7222059.fq.gz,155,58
SRR7222059.fq.gz,140,59
SRR7222059.fq.gz,140,60
SRR7222059.fq.gz,138,61
SRR7222059.fq.gz,135,62
SRR7222059.fq.gz,160,63
SRR7222059.fq.gz,174,64
SRR7222059.fq.gz,156,65
SRR7222059.fq.gz,157,66
SRR7222059.fq.gz,170,67
SRR7222059.fq.gz,162,68
SRR7222059.fq.gz,167,69
SRR7222059.fq.gz,136,70
SRR7222059.fq.gz,157,71
SRR7222059.fq.gz,163,72
SRR7222059.fq.gz,205,73
SRR7222059.fq.gz,175,74
SRR7222059.fq.gz,201,75
SRR7222059.fq.gz,174,76
SRR7222059.fq.gz,174,77
SRR7222059.fq.gz,187,78
SRR7222059.fq.gz,424,79
SRR7222059.fq.gz,722,80
SRR7222059.fq.gz,3220,81
SRR7222059.fq.gz,948018,85
SRR7222070.fq.gz,77,3
SRR7222070.fq.gz,33,4
SRR7222070.fq.gz,48,5
SRR7222070.fq.gz,177,6
SRR7222070.fq.gz,181,7
SRR7222070.fq.gz,93,8
SRR7222070.fq.gz,154,9
SRR7222070.fq.gz,79,10
SRR7222070.fq.gz,459,11
SRR7222070.fq.gz,323,12
SRR7222070.fq.gz,135,13
SRR7222070.fq.gz,2341,14
SRR7222070.fq.gz,102,15
SRR7222070.fq.gz,259,16
SRR7222070.fq.gz,134,17
SRR7222070.fq.gz,322,18
SRR7222070.fq.gz,178,19
SRR7222070.fq.gz,402,20
SRR7222070.fq.gz,344,21
SRR7222070.fq.gz,1408,22
SRR7222070.fq.gz,353,23
SRR7222070.fq.gz,91,24
SRR7222070.fq.gz,308,25
SRR7222070.fq.gz,126,26
SRR7222070.fq.gz,120,27
SRR7222070.fq.gz,134,28
SRR7222070.fq.gz,89,29
SRR7222070.fq.gz,111,30
SRR7222070.fq.gz,127,31
SRR7222070.fq.gz,136,32
SRR7222070.fq.gz,107,33
SRR7222070.fq.gz,135,34
SRR7222070.fq.gz,93,35
SRR7222070.fq.gz,128,36
SRR7222070.fq.gz,135,37
SRR7222070.fq.gz,171,38
SRR7222070.fq.gz,140,39
SRR7222070.fq.gz,142,40
SRR7222070.fq.gz,144,41
SRR7222070.fq.gz,127,42
SRR7222070.fq.gz,177,43
SRR7222070.fq.gz,176,44
SRR7222070.fq.gz,150,45
SRR7222070.fq.gz,124,46
SRR7222070.fq.gz,191,47
SRR7222070.fq.gz,167,48
SRR7222070.fq.gz,164,49
SRR7222070.fq.gz,139,50
SRR7222070.fq.gz,150,51
SRR7222070.fq.gz,171,52
SRR7222070.fq.gz,200,53
SRR7222070.fq.gz,169,54
SRR7222070.fq.gz,153,55
SRR7222070.fq.gz,174,56
SRR7222070.fq.gz,170,57
SRR7222070.fq.gz,210,58
SRR7222070.fq.gz,183,59
SRR7222070.fq.gz,331,60
SRR7222070.fq.gz,167,61
SRR7222070.fq.gz,201,62
SRR7222070.fq.gz,186,63
SRR7222070.fq.gz,175,64
SRR7222070.fq.gz,186,65
SRR7222070.fq.gz,189,66
SRR7222070.fq.gz,188,67
SRR7222070.fq.gz,222,68
SRR7222070.fq.gz,183,69
SRR7222070.fq.gz,205,70
SRR7222070.fq.gz,181,71
SRR7222070.fq.gz,217,72
SRR7222070.fq.gz,228,73
SRR7222070.fq.gz,344,74
SRR7222070.fq.gz,253,75
SRR7222070.fq.gz,167,76
SRR7222070.fq.gz,244,77
SRR7222070.fq.gz,260,78
SRR7222070.fq.gz,553,79
SRR7222070.fq.gz,1043,80
SRR7222070.fq.gz,3751,81
SRR7222070.fq.gz,1212101,85
SRR7222073.fq.gz,182,3
SRR7222073.fq.gz,186,4
SRR7222073.fq.gz,87,5
SRR7222073.fq.gz,232,6
SRR7222073.fq.gz,307,7
SRR7222073.fq.gz,65,8
SRR7222073.fq.gz,66,9
SRR7222073.fq.gz,159,10
SRR7222073.fq.gz,140,11
SRR7222073.fq.gz,99,12
SRR7222073.fq.gz,316,13
SRR7222073.fq.gz,1619,14
SRR7222073.fq.gz,250,15
SRR7222073.fq.gz,538,16
SRR7222073.fq.gz,712,17
SRR7222073.fq.gz,811,18
SRR7222073.fq.gz,468,19
SRR7222073.fq.gz,1066,20
SRR7222073.fq.gz,951,21
SRR7222073.fq.gz,844,22
SRR7222073.fq.gz,701,23
SRR7222073.fq.gz,89,24
SRR7222073.fq.gz,486,25
SRR7222073.fq.gz,111,26
SRR7222073.fq.gz,124,27
SRR7222073.fq.gz,109,28
SRR7222073.fq.gz,71,29
SRR7222073.fq.gz,119,30
SRR7222073.fq.gz,118,31
SRR7222073.fq.gz,78,32
SRR7222073.fq.gz,82,33
SRR7222073.fq.gz,82,34
SRR7222073.fq.gz,79,35
SRR7222073.fq.gz,79,36
SRR7222073.fq.gz,89,37
SRR7222073.fq.gz,117,38
SRR7222073.fq.gz,61,39
SRR7222073.fq.gz,60,40
SRR7222073.fq.gz,89,41
SRR7222073.fq.gz,82,42
SRR7222073.fq.gz,63,43
SRR7222073.fq.gz,87,44
SRR7222073.fq.gz,76,45
SRR7222073.fq.gz,81,46
SRR7222073.fq.gz,107,47
SRR7222073.fq.gz,90,48
SRR7222073.fq.gz,91,49
SRR7222073.fq.gz,67,50
SRR7222073.fq.gz,97,51
SRR7222073.fq.gz,59,52
SRR7222073.fq.gz,92,53
SRR7222073.fq.gz,68,54
SRR7222073.fq.gz,93,55
SRR7222073.fq.gz,74,56
SRR7222073.fq.gz,105,57
SRR7222073.fq.gz,80,58
SRR7222073.fq.gz,63,59
SRR7222073.fq.gz,107,60
SRR7222073.fq.gz,66,61
SRR7222073.fq.gz,93,62
SRR7222073.fq.gz,66,63
SRR7222073.fq.gz,69,64
SRR7222073.fq.gz,90,65
SRR7222073.fq.gz,80,66
SRR7222073.fq.gz,68,67
SRR7222073.fq.gz,171,68
SRR7222073.fq.gz,105,69
SRR7222073.fq.gz,76,70
SRR7222073.fq.gz,98,71
SRR7222073.fq.gz,93,72
SRR7222073.fq.gz,88,73
SRR7222073.fq.gz,111,74
SRR7222073.fq.gz,144,75
SRR7222073.fq.gz,101,76
SRR7222073.fq.gz,118,77
SRR7222073.fq.gz,132,78
SRR7222073.fq.gz,527,79
SRR7222073.fq.gz,1241,80
SRR7222073.fq.gz,6339,81
SRR7222073.fq.gz,1929200,85
SRR7222074.fq.gz,88,3
SRR7222074.fq.gz,102,4
SRR7222074.fq.gz,68,5
SRR7222074.fq.gz,195,6
SRR7222074.fq.gz,208,7
SRR7222074.fq.gz,73,8
SRR7222074.fq.gz,423,9
SRR7222074.fq.gz,137,10
SRR7222074.fq.gz,276,11
SRR7222074.fq.gz,106,12
SRR7222074.fq.gz,79,13
SRR7222074.fq.gz,806,14
SRR7222074.fq.gz,76,15
