run_name,sample_name,total_reads_processed,reads_that_were_too_short,total_reads_written_to_final_fastq
bioprj_PRJNA473221_Bombus-bifarius,SRR7222059.fq.gz,971869,19909,951960
bioprj_PRJNA473221_Bombus-bifarius,SRR7222070.fq.gz,1234609,17714,1216895
bioprj_PRJNA473221_Bombus-bifarius,SRR7222073.fq.gz,1952500,15720,1936780
bioprj_PRJNA473221_Bombus-bifarius,SRR7222074.fq.gz,1343603,9210,1334393
bioprj_PRJNA473221_Bombus-bifarius,SRR7222076.fq.gz,1873541,11008,1862533
bioprj_PRJNA473221_Bombus-bifarius,SRR7222077.fq.gz,1480102,9472,1470630
bioprj_PRJNA473221_Bombus-bifarius,SRR7222078.fq.gz,1453369,8957,1444412
bioprj_PRJNA473221_Bombus-bifarius,SRR7222079.fq.gz,1544532,10227,1534305
bioprj_PRJNA473221_Bombus-bifarius,SRR7222080.fq.gz,1377161,9691,1367470
bioprj_PRJNA473221_Bombus-bifarius,SRR7222081.fq.gz,1544794,9953,1534841
bioprj_PRJNA473221_Bombus-bifarius,SRR7222082.fq.gz,1663623,12019,1651604
bioprj_PRJNA473221_Bombus-bifarius,SRR7222083.fq.gz,1776154,24849,1751305
bioprj_PRJNA473221_Bombus-bifarius,SRR7222084.fq.gz,1472690,37731,1434959
bioprj_PRJNA473221_Bombus-bifarius,SRR7222085.fq.gz,1184855,45020,1139835
bioprj_PRJNA473221_Bombus-bifarius,SRR7222088.fq.gz,1207332,40321,1167011
bioprj_PRJNA473221_Bombus-bifarius,SRR7222089.fq.gz,1505983,119959,1386024
bioprj_PRJNA473221_Bombus-bifarius,SRR7222090.fq.gz,1552363,20351,1532012
bioprj_PRJNA473221_Bombus-bifarius,SRR7222091.fq.gz,1307426,62728,1244698
bioprj_PRJNA473221_Bombus-bifarius,SRR7222103.fq.gz,1504948,7405,1497543
bioprj_PRJNA473221_Bombus-bifarius,SRR7222104.fq.gz,1728761,7801,1720960
bioprj_PRJNA473221_Bombus-bifarius,SRR7222105.fq.gz,1410219,7112,1403107
bioprj_PRJNA473221_Bombus-bifarius,SRR7222106.fq.gz,1240829,6842,1233987
bioprj_PRJNA473221_Bombus-bifarius,SRR7222107.fq.gz,1533652,8163,1525489
bioprj_PRJNA473221_Bombus-bifarius,SRR7222108.fq.gz,1864253,74632,1789621
bioprj_PRJNA473221_Bombus-bifarius,SRR7222109.fq.gz,1697721,9641,1688080
bioprj_PRJNA473221_Bombus-bifarius,SRR7222110.fq.gz,1365158,6141,1359017
bioprj_PRJNA473221_Bombus-bifarius,SRR7222111.fq.gz,1913688,17279,1896409
bioprj_PRJNA473221_Bombus-bifarius,SRR7222112.fq.gz,1920787,15373,1905414
bioprj_PRJNA473221_Bombus-bifarius,SRR7222113.fq.gz,1145014,16854,1128160
bioprj_PRJNA473221_Bombus-bifarius,SRR7222114.fq.gz,1697144,104819,1592325
bioprj_PRJNA473221_Bombus-bifarius,SRR7222115.fq.gz,1289065,11263,1277802
bioprj_PRJNA473221_Bombus-bifarius,SRR7222116.fq.gz,1133020,12287,1120733
bioprj_PRJNA473221_Bombus-bifarius,SRR7222117.fq.gz,1191432,6742,1184690
bioprj_PRJNA473221_Bombus-bifarius,SRR7222118.fq.gz,1166345,11554,1154791
bioprj_PRJNA473221_Bombus-bifarius,SRR7222119.fq.gz,1554432,25986,1528446
bioprj_PRJNA473221_Bombus-bifarius,SRR7222120.fq.gz,947024,15837,931187
bioprj_PRJNA473221_Bombus-bifarius,SRR7222127.fq.gz,1110990,19678,1091312
bioprj_PRJNA473221_Bombus-bifarius,SRR7222128.fq.gz,1137668,20489,1117179
bioprj_PRJNA473221_Bombus-bifarius,SRR7222129.fq.gz,1232183,30127,1202056
bioprj_PRJNA473221_Bombus-bifarius,SRR7222130.fq.gz,1584102,31554,1552548
bioprj_PRJNA473221_Bombus-bifarius,SRR7222131.fq.gz,1370467,45234,1325233
bioprj_PRJNA473221_Bombus-bifarius,SRR7222132.fq.gz,1639979,57493,1582486
bioprj_PRJNA473221_Bombus-bifarius,SRR7222133.fq.gz,1338230,34626,1303604
bioprj_PRJNA473221_Bombus-bifarius,SRR7222134.fq.gz,1366858,25319,1341539
bioprj_PRJNA473221_Bombus-bifarius,SRR7222137.fq.gz,1822901,15959,1806942
bioprj_PRJNA473221_Bombus-bifarius,SRR7222138.fq.gz,1536989,8795,1528194
bioprj_PRJNA473221_Bombus-bifarius,SRR7222139.fq.gz,1861234,15111,1846123
bioprj_PRJNA473221_Bombus-bifarius,SRR7222140.fq.gz,1735306,10750,1724556
bioprj_PRJNA473221_Bombus-bifarius,SRR7222141.fq.gz,1290072,8703,1281369
bioprj_PRJNA473221_Bombus-bifarius,SRR7222142.fq.gz,1523253,11697,1511556
bioprj_PRJNA473221_Bombus-bifarius,SRR7222143.fq.gz,1646493,12704,1633789
bioprj_PRJNA473221_Bombus-bifarius,SRR7222144.fq.gz,1889661,14352,1875309
bioprj_PRJNA473221_Bombus-bifarius,SRR7222145.fq.gz,1659647,11632,1648015
bioprj_PRJNA473221_Bombus-bifarius,SRR7222146.fq.gz,1583610,11271,1572339
bioprj_PRJNA473221_Bombus-bifarius,SRR7222161.fq.gz,1528297,11725,1516572
bioprj_PRJNA473221_Bombus-bifarius,SRR7222167.fq.gz,1125710,15645,1110065
bioprj_PRJNA473221_Bombus-bifarius,SRR7222169.fq.gz,1180807,33503,1147304
bioprj_PRJNA473221_Bombus-bifarius,SRR7222170.fq.gz,1116381,50338,1066043
bioprj_PRJNA473221_Bombus-bifarius,SRR7222171.fq.gz,1107511,20678,1086833
bioprj_PRJNA473221_Bombus-bifarius,SRR7222172.fq.gz,1022193,18659,1003534
bioprj_PRJNA473221_Bombus-bifarius,SRR7222173.fq.gz,950214,16224,933990
bioprj_PRJNA473221_Bombus-bifarius,SRR7222174.fq.gz,1133202,33775,1099427
bioprj_PRJNA473221_Bombus-bifarius,SRR7222176.fq.gz,1116757,19905,1096852
bioprj_PRJNA473221_Bombus-bifarius,SRR7222177.fq.gz,1515857,12889,1502968
bioprj_PRJNA473221_Bombus-bifarius,SRR7222178.fq.gz,1496180,10058,1486122
bioprj_PRJNA473221_Bombus-bifarius,SRR7222179.fq.gz,1125885,5752,1120133
bioprj_PRJNA473221_Bombus-bifarius,SRR7222180.fq.gz,1651871,12061,1639810
bioprj_PRJNA473221_Bombus-bifarius,SRR7222181.fq.gz,1537431,15286,1522145
bioprj_PRJNA473221_Bombus-bifarius,SRR7222182.fq.gz,1112136,6749,1105387
bioprj_PRJNA473221_Bombus-bifarius,SRR7222183.fq.gz,1535629,8341,1527288
bioprj_PRJNA473221_Bombus-bifarius,SRR7222184.fq.gz,1310639,8874,1301765
bioprj_PRJNA473221_Bombus-bifarius,SRR7222185.fq.gz,1484446,9854,1474592
bioprj_PRJNA473221_Bombus-bifarius,SRR7222186.fq.gz,1291374,9010,1282364
bioprj_PRJNA473221_Bombus-bifarius,SRR7222187.fq.gz,1354253,9995,1344258
bioprj_PRJNA473221_Bombus-bifarius,SRR7222189.fq.gz,1391226,32503,1358723
bioprj_PRJNA473221_Bombus-bifarius,SRR7222200.fq.gz,1655984,9717,1646267
bioprj_PRJNA473221_Bombus-bifarius,SRR7222207.fq.gz,1742051,12629,1729422
