sample_name,number_reads,mean_length,median_length,min_length,max_length
SRR7222059.fq.gz,971869,83.8945,85,3,85
SRR7222070.fq.gz,1234609,84.3161,85,3,85
SRR7222073.fq.gz,1952500,84.5407,85,3,85
SRR7222074.fq.gz,1343603,84.618,85,3,85
SRR7222076.fq.gz,1873541,84.6913,85,3,85
SRR7222077.fq.gz,1480102,84.6593,85,3,85
SRR7222078.fq.gz,1453369,84.6698,85,3,85
SRR7222079.fq.gz,1544532,84.6431,85,3,85
SRR7222080.fq.gz,1377161,84.6102,85,3,85
SRR7222081.fq.gz,1544794,84.6623,85,3,85
SRR7222082.fq.gz,1663623,84.6025,85,3,85
SRR7222083.fq.gz,1776154,84.1509,85,3,85
SRR7222084.fq.gz,1472690,83.5748,85,3,85
SRR7222085.fq.gz,1184855,82.8008,85,3,85
SRR7222088.fq.gz,1207332,83.0666,85,3,85
SRR7222089.fq.gz,1505983,80.0809,85,3,85
SRR7222090.fq.gz,1552363,84.3713,85,3,85
SRR7222091.fq.gz,1307426,82.0697,85,3,85
SRR7222103.fq.gz,1504948,84.7198,85,3,85
SRR7222104.fq.gz,1728761,84.7475,85,3,85
SRR7222105.fq.gz,1410219,84.7148,85,3,85
SRR7222106.fq.gz,1240829,84.6854,85,3,85
SRR7222107.fq.gz,1533652,84.7074,85,3,85
SRR7222108.fq.gz,1864253,82.4129,85,3,85
SRR7222109.fq.gz,1697721,84.6796,85,3,85
SRR7222110.fq.gz,1365158,84.7565,85,3,85
SRR7222111.fq.gz,1913688,84.4719,85,3,85
SRR7222112.fq.gz,1920787,84.5283,85,3,85
SRR7222113.fq.gz,1145014,84.0919,85,3,85
SRR7222114.fq.gz,1697144,81.0238,85,3,85
SRR7222115.fq.gz,1289065,84.4814,85,3,85
SRR7222116.fq.gz,1133020,84.3525,85,3,85
SRR7222117.fq.gz,1191432,84.6903,85,3,85
SRR7222118.fq.gz,1166345,84.4072,85,3,85
SRR7222119.fq.gz,1554432,84.1546,85,3,85
SRR7222120.fq.gz,947024,84.1475,85,3,85
SRR7222127.fq.gz,1110990,84.0856,85,3,85
SRR7222128.fq.gz,1137668,84.0943,85,3,85
SRR7222129.fq.gz,1232183,83.6525,85,3,85
SRR7222130.fq.gz,1584102,83.9445,85,3,85
SRR7222131.fq.gz,1370467,83.0565,85,3,85
SRR7222132.fq.gz,1639979,82.9338,85,3,85
SRR7222133.fq.gz,1338230,83.5428,85,3,85
SRR7222134.fq.gz,1366858,84.051,85,3,85
SRR7222137.fq.gz,1822901,84.4991,85,3,85
SRR7222138.fq.gz,1536989,84.6989,85,3,85
SRR7222139.fq.gz,1861234,84.5287,85,3,85
SRR7222140.fq.gz,1735306,84.6659,85,3,85
SRR7222141.fq.gz,1290072,84.635,85,3,85
SRR7222142.fq.gz,1523253,84.5725,85,3,85
SRR7222143.fq.gz,1646493,84.5658,85,3,85
SRR7222144.fq.gz,1889661,84.5755,85,3,85
SRR7222145.fq.gz,1659647,84.6166,85,3,85
SRR7222146.fq.gz,1583610,84.5998,85,3,85
SRR7222161.fq.gz,1528297,84.5561,85,3,85
SRR7222167.fq.gz,1125710,84.1441,85,3,85
