link	run_acc_sra	sampid_assigned_for_bioinf	locality	read_type_sra
PRJNA473221_Bombus-bifarius	SRR7222059	sample0	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222070	sample1	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222073	sample2	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222074	sample3	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222076	sample4	California11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222077	sample5	California11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222078	sample6	California11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222079	sample7	California11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222080	sample8	Oregon7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222081	sample9	California11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222082	sample10	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222083	sample11	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222084	sample12	California2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222085	sample13	California2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222088	sample14	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222089	sample15	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222090	sample16	California2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222091	sample17	California2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222103	sample18	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222104	sample19	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222105	sample20	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222106	sample21	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222107	sample22	Washington12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222108	sample23	Washington12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222109	sample24	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222110	sample25	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222111	sample26	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222112	sample27	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222113	sample28	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222114	sample29	Washington12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222115	sample30	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222116	sample31	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222117	sample32	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222118	sample33	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222119	sample34	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222120	sample35	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222127	sample36	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222128	sample37	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222129	sample38	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222130	sample39	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222131	sample40	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222132	sample41	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222133	sample42	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222134	sample43	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222137	sample44	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222138	sample45	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222139	sample46	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222140	sample47	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222141	sample48	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222142	sample49	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222143	sample50	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222144	sample51	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222145	sample52	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222146	sample53	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222161	sample54	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222167	sample55	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222169	sample56	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222170	sample57	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222171	sample58	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222172	sample59	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222173	sample60	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222174	sample61	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222176	sample62	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222177	sample63	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222178	sample64	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222179	sample65	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222180	sample66	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222181	sample67	California10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222182	sample68	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222183	sample69	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222184	sample70	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222185	sample71	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222186	sample72	Oregon5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222187	sample73	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222189	sample74	Washington9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222200	sample75	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222207	sample76	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222209	sample77	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222210	sample78	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222212	sample79	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222213	sample80	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222214	sample81	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222215	sample82	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222216	sample83	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222218	sample84	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222219	sample85	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222220	sample86	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222221	sample87	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222224	sample88	Washington3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222225	sample89	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222226	sample90	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222227	sample91	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222228	sample92	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222229	sample93	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222230	sample94	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222231	sample95	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222232	sample96	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222233	sample97	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222234	sample98	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222235	sample99	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222236	sample100	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222237	sample101	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222238	sample102	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222239	sample103	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222240	sample104	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222241	sample105	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222264	sample106	California12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222266	sample107	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222267	sample108	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222268	sample109	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222269	sample110	Washington4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222270	sample111	Washington4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222271	sample112	Washington4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222272	sample113	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222273	sample114	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222274	sample115	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222275	sample116	Washington13	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222276	sample117	Washington4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222278	sample118	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222281	sample119	California6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222282	sample120	California6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222289	sample121	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222290	sample122	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222291	sample123	California5	SINGLE
