link	run_acc_sra	sampid_assigned_for_bioinf	popmap	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA473221_Bombus-bifarius	SRR7222059	sample0	dummy	dummy	dummy	SINGLE	982063	951960
PRJNA473221_Bombus-bifarius	SRR7222070	sample1	dummy	dummy	dummy	SINGLE	1248245	1216895
PRJNA473221_Bombus-bifarius	SRR7222073	sample2	dummy	dummy	dummy	SINGLE	1953588	1936780
PRJNA473221_Bombus-bifarius	SRR7222074	sample3	dummy	dummy	dummy	SINGLE	1344319	1334393
PRJNA473221_Bombus-bifarius	SRR7222076	sample4	dummy	dummy	dummy	SINGLE	1874565	1862533
PRJNA473221_Bombus-bifarius	SRR7222077	sample5	dummy	dummy	dummy	SINGLE	1480876	1470630
PRJNA473221_Bombus-bifarius	SRR7222078	sample6	dummy	dummy	dummy	SINGLE	1454120	1444412
PRJNA473221_Bombus-bifarius	SRR7222079	sample7	dummy	dummy	dummy	SINGLE	1545305	1534305
PRJNA473221_Bombus-bifarius	SRR7222080	sample8	dummy	dummy	dummy	SINGLE	1377798	1367470
PRJNA473221_Bombus-bifarius	SRR7222081	sample9	dummy	dummy	dummy	SINGLE	1545670	1534841
PRJNA473221_Bombus-bifarius	SRR7222082	sample10	dummy	dummy	dummy	SINGLE	1664534	1651604
PRJNA473221_Bombus-bifarius	SRR7222083	sample11	dummy	dummy	dummy	SINGLE	1777127	1751305
PRJNA473221_Bombus-bifarius	SRR7222084	sample12	dummy	dummy	dummy	SINGLE	1491098	1434959
PRJNA473221_Bombus-bifarius	SRR7222085	sample13	dummy	dummy	dummy	SINGLE	1197825	1139835
PRJNA473221_Bombus-bifarius	SRR7222088	sample14	dummy	dummy	dummy	SINGLE	1220760	1167011
PRJNA473221_Bombus-bifarius	SRR7222089	sample15	dummy	dummy	dummy	SINGLE	1527274	1386024
PRJNA473221_Bombus-bifarius	SRR7222090	sample16	dummy	dummy	dummy	SINGLE	1566971	1532012
PRJNA473221_Bombus-bifarius	SRR7222091	sample17	dummy	dummy	dummy	SINGLE	1323970	1244698
PRJNA473221_Bombus-bifarius	SRR7222103	sample18	dummy	dummy	dummy	SINGLE	1505623	1497543
PRJNA473221_Bombus-bifarius	SRR7222104	sample19	dummy	dummy	dummy	SINGLE	1729624	1720960
PRJNA473221_Bombus-bifarius	SRR7222105	sample20	dummy	dummy	dummy	SINGLE	1410851	1403107
PRJNA473221_Bombus-bifarius	SRR7222106	sample21	dummy	dummy	dummy	SINGLE	1241411	1233987
PRJNA473221_Bombus-bifarius	SRR7222107	sample22	dummy	dummy	dummy	SINGLE	1534447	1525489
PRJNA473221_Bombus-bifarius	SRR7222108	sample23	dummy	dummy	dummy	SINGLE	1865348	1789621
PRJNA473221_Bombus-bifarius	SRR7222109	sample24	dummy	dummy	dummy	SINGLE	1698438	1688080
PRJNA473221_Bombus-bifarius	SRR7222110	sample25	dummy	dummy	dummy	SINGLE	1365768	1359017
PRJNA473221_Bombus-bifarius	SRR7222111	sample26	dummy	dummy	dummy	SINGLE	1914845	1896409
PRJNA473221_Bombus-bifarius	SRR7222112	sample27	dummy	dummy	dummy	SINGLE	1922008	1905414
PRJNA473221_Bombus-bifarius	SRR7222113	sample28	dummy	dummy	dummy	SINGLE	1145695	1128160
PRJNA473221_Bombus-bifarius	SRR7222114	sample29	dummy	dummy	dummy	SINGLE	1698144	1592325
PRJNA473221_Bombus-bifarius	SRR7222115	sample30	dummy	dummy	dummy	SINGLE	1289983	1277802
PRJNA473221_Bombus-bifarius	SRR7222116	sample31	dummy	dummy	dummy	SINGLE	1133617	1120733
PRJNA473221_Bombus-bifarius	SRR7222117	sample32	dummy	dummy	dummy	SINGLE	1192181	1184690
PRJNA473221_Bombus-bifarius	SRR7222118	sample33	dummy	dummy	dummy	SINGLE	1166890	1154791
PRJNA473221_Bombus-bifarius	SRR7222119	sample34	dummy	dummy	dummy	SINGLE	1571723	1528446
PRJNA473221_Bombus-bifarius	SRR7222120	sample35	dummy	dummy	dummy	SINGLE	956359	931187
PRJNA473221_Bombus-bifarius	SRR7222127	sample36	dummy	dummy	dummy	SINGLE	1123768	1091312
PRJNA473221_Bombus-bifarius	SRR7222128	sample37	dummy	dummy	dummy	SINGLE	1150395	1117179
