link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA473221_Bombus-vosnesenskii	SRR7222044	JDL563-CA07-2013--Bv	dummy	null	null	SINGLE	1552311	1552311
PRJNA473221_Bombus-vosnesenskii	SRR7222045	JDL562-CA07-2013--Bv	dummy	null	null	SINGLE	1853795	1853795
PRJNA473221_Bombus-vosnesenskii	SRR7222046	JDL561-CA07-2013--Bv	dummy	null	null	SINGLE	2364267	2364267
PRJNA473221_Bombus-vosnesenskii	SRR7222047	JDL560-CA07-2013--Bv	dummy	null	null	SINGLE	3060585	3060585
PRJNA473221_Bombus-vosnesenskii	SRR7222048	JDL559-CA07-2013--Bv	dummy	null	null	SINGLE	1650121	1650121
PRJNA473221_Bombus-vosnesenskii	SRR7222049	JDL558-CA07-2013--Bv	dummy	null	null	SINGLE	1444355	1444355
PRJNA473221_Bombus-vosnesenskii	SRR7222050	JDL557-CA07-2013--Bv	dummy	null	null	SINGLE	1613820	1613820
PRJNA473221_Bombus-vosnesenskii	SRR7222051	JDL938-CA01-2015--Bv	dummy	null	null	SINGLE	1237166	1237166
PRJNA473221_Bombus-vosnesenskii	SRR7222052	JDL939-CA01-2015--Bv	dummy	null	null	SINGLE	1079053	1079053
PRJNA473221_Bombus-vosnesenskii	SRR7222053	JDL936-CA01-2015--Bv	dummy	null	null	SINGLE	1182964	1182964
PRJNA473221_Bombus-vosnesenskii	SRR7222054	JDL937-CA01-2015--Bv	dummy	null	null	SINGLE	1331343	1331343
PRJNA473221_Bombus-vosnesenskii	SRR7222055	JDL865-OR03-2014--Bv	dummy	null	null	SINGLE	1016935	1016935
PRJNA473221_Bombus-vosnesenskii	SRR7222056	JDL866-OR03-2014--Bv	dummy	null	null	SINGLE	991297	991297
PRJNA473221_Bombus-vosnesenskii	SRR7222057	JDL568-CA08-2013--Bv	dummy	null	null	SINGLE	2132129	2132129
PRJNA473221_Bombus-vosnesenskii	SRR7222058	JDL567-CA08-2013--Bv	dummy	null	null	SINGLE	1722988	1722988
PRJNA473221_Bombus-vosnesenskii	SRR7222060	JDL1199-CA13-2015-S-Bv	dummy	null	null	SINGLE	1339090	1339090
PRJNA473221_Bombus-vosnesenskii	SRR7222061	JDL1200-CA13-2015-S-Bv	dummy	null	null	SINGLE	1538374	1538374
PRJNA473221_Bombus-vosnesenskii	SRR7222062	JDL1170-OR01-2015-S-Bv	dummy	null	null	SINGLE	1504249	1504249
PRJNA473221_Bombus-vosnesenskii	SRR7222063	JDL1172-OR02-2015-S-Bv	dummy	null	null	SINGLE	1532783	1532783
PRJNA473221_Bombus-vosnesenskii	SRR7222064	JDL1174-OR02-2015-S-Bv	dummy	null	null	SINGLE	1380980	1380980
PRJNA473221_Bombus-vosnesenskii	SRR7222065	JDL1175-OR02-2015-S-Bv	dummy	null	null	SINGLE	1745348	1745348
PRJNA473221_Bombus-vosnesenskii	SRR7222066	JDL1176-OR02-2015-S-Bv	dummy	null	null	SINGLE	1704085	1704085
PRJNA473221_Bombus-vosnesenskii	SRR7222067	JDL1177-OR02-2015-S-Bv	dummy	null	null	SINGLE	1556387	1556387
PRJNA473221_Bombus-vosnesenskii	SRR7222068	JDL1179-OR02-2015-S-Bv	dummy	null	null	SINGLE	1286343	1286343
PRJNA473221_Bombus-vosnesenskii	SRR7222069	JDL1180-OR02-2015-S-Bv	dummy	null	null	SINGLE	1972305	1972305
PRJNA473221_Bombus-vosnesenskii	SRR7222071	JDL940-CA01-2015--Bv	dummy	null	null	SINGLE	978002	978002
PRJNA473221_Bombus-vosnesenskii	SRR7222072	JDL941-CA01-2015--Bv	dummy	null	null	SINGLE	1325186	1325186
PRJNA473221_Bombus-vosnesenskii	SRR7222075	JDL1157-CA12-2015--Bv	dummy	null	null	SINGLE	1598177	1598177
PRJNA473221_Bombus-vosnesenskii	SRR7222086	JDL301-CA02-2012--Bv	dummy	null	null	SINGLE	2351405	2351405
PRJNA473221_Bombus-vosnesenskii	SRR7222087	JDL302-CA02-2012--Bv	dummy	null	null	SINGLE	1955656	1955656
PRJNA473221_Bombus-vosnesenskii	SRR7222092	JDL294-CA02-2012--Bv	dummy	null	null	SINGLE	2538130	2538130
PRJNA473221_Bombus-vosnesenskii	SRR7222093	JDL295-CA02-2012--Bv	dummy	null	null	SINGLE	2000099	2000099
PRJNA473221_Bombus-vosnesenskii	SRR7222094	JDL292-CA02-2012--Bv	dummy	null	null	SINGLE	796059	796059
PRJNA473221_Bombus-vosnesenskii	SRR7222095	JDL293-CA02-2012--Bv	dummy	null	null	SINGLE	918942	918942
PRJNA473221_Bombus-vosnesenskii	SRR7222096	JDL299-CA02-2012--Bv	dummy	null	null	SINGLE	1861720	1861720
PRJNA473221_Bombus-vosnesenskii	SRR7222097	JDL300-CA02-2012--Bv	dummy	null	null	SINGLE	1902346	1902346
PRJNA473221_Bombus-vosnesenskii	SRR7222098	JDL296-CA02-2012--Bv	dummy	null	null	SINGLE	2395519	2395519
PRJNA473221_Bombus-vosnesenskii	SRR7222099	JDL298-CA02-2012--Bv	dummy	null	null	SINGLE	2877183	2877183
PRJNA473221_Bombus-vosnesenskii	SRR7222100	JDL1158-CA12-2015--Bv	dummy	null	null	SINGLE	836374	836374
PRJNA473221_Bombus-vosnesenskii	SRR7222101	JDL862-OR03-2014--Bv	dummy	null	null	SINGLE	1540921	1540921
PRJNA473221_Bombus-vosnesenskii	SRR7222102	JDL864-OR03-2014--Bv	dummy	null	null	SINGLE	1951349	1951349
PRJNA473221_Bombus-vosnesenskii	SRR7222121	JDL597-CA09-2013--Bv	dummy	null	null	SINGLE	1989509	1989509
PRJNA473221_Bombus-vosnesenskii	SRR7222122	JDL599-CA09-2013--Bv	dummy	null	null	SINGLE	1546637	1546637
PRJNA473221_Bombus-vosnesenskii	SRR7222123	JDL595-CA09-2013--Bv	dummy	null	null	SINGLE	1574331	1574331
PRJNA473221_Bombus-vosnesenskii	SRR7222124	JDL596-CA09-2013--Bv	dummy	null	null	SINGLE	1766261	1766261
PRJNA473221_Bombus-vosnesenskii	SRR7222125	JDL592-CA09-2013--Bv	dummy	null	null	SINGLE	2004591	2004591
